Name;Coordinate;Opened;Type
Espoo;60.205465, 24.656821;1903;Train
Helsinki Center Station;60.170942, 24.941281;1862;Train/Metro
Hiekkaharju;60.303117, 25.049406;1931;Train
Huopalahti;60.218033, 24.895245;1910;Train
Ilmala;60.207560, 24.921327;1967;Train
Jokela;60.552802, 24.970598;1875;Train
Jorvas;60.137637, 24.512248;1903;Train
Kannelmäki;60.239585, 24.877245;1975;Train
Kauklahti;60.190282, 24.602130;1901;Train
Kauniainen;60.211841, 24.730338;1907;Train
Kera;60.216167, 24.753632;1946;Train
Kerava;60.404629, 25.105944;1863;Train
Kilo;60.217927, 24.782147;1902;Train
Kirkkonummi;60.119691, 24.439281;1901;Train
Kivistö;60.314502, 24.847038;2015;Train
Koivuhovi;60.207035, 24.702021;1997;Train
Koivukylä;60.323585, 25.060314;1980;Train
Korso;60.351134, 25.078569;1889;Train
Käpylä;60.220435, 24.947019;1910;Train
Leinelä;60.322753, 25.038809;2015;Train
Lentoasema;60.316013, 24.971481;2015;Train
Leppävaara;60.219425, 24.813381;1903;Train
Louhela;60.270818, 24.853417;1975;Train
Malmi;60.251258, 25.011302;1871;Train
Malminkartano;60.249200, 24.861520;1978;Train
Martinlaakso;60.278422, 24.852778;1975;Train
Masala;60.158131, 24.538724;1903;Train
Myyrmäki;60.261724, 24.854741;1975;Train
Mäkkylä;60.220600, 24.841506;1940;Train
Oulunkylä;60.228832, 24.967914;1873;Train
Pasila;60.198961, 24.933426;1890;Train
Pitäjänmäki;60.223351, 24.859718;1904;Train
Pohjois-Haaga;60.230175, 24.883230;1975;Train
Puistola;60.275738, 25.036537;1910;Train
Pukinmäki;60.242183, 24.993676;1886;Train
Rekola;60.332706, 25.068568;1886;Train
Savio;60.380649, 25.097759;1886;Train
Tapanila;60.262628, 25.028716;1907;Train
Tikkurila;60.292965, 25.044767;1862;Train
Tolsa;60.118491, 24.472410;1905;Train
Tuomarila;60.206175, 24.680662;1931;Train
Valimo;60.222072, 24.876155;1949;Train
Vantaankoski;60.286110, 24.847993;1991;Train
Vehkala;60.294976, 24.843628;2015;Train
Aalto University;60.184466, 24.823179;2017;Metro
Hakaniemi;60.179483, 24.950403;1982;Metro
Helsinki University;60.171522, 24.948176;1995;Metro
Herttoniemi;60.194930, 25.031136;1982;Metro
Itäkeskus;60.209957, 25.077129;1982;Metro
Kalasatama;60.187469, 24.977286;2007;Metro
Kamppi;60.168943, 24.929789;1982;Metro
Keilaniemi;60.176289, 24.829388;2017;Metro
Koivusaari;60.163474, 24.855751;2017;Metro
Kontula;60.235962, 25.082829;1986;Metro
Kulosaari;60.188893, 25.008025;1982;Metro
Lauttasaari;60.159854, 24.880696;2017;Metro
Matinkylä;60.160058, 24.738005;2017;Metro
Mellunmäki;60.239072, 25.110518;1989;Metro
Myllypuro;60.224946, 25.075780;1986;Metro
Niittykumpu;60.170501, 24.763557;2017;Metro
Puotila;60.214599, 25.094774;1998;Metro
Rastila;60.205556, 25.120478;1998;Metro
Ruoholahti;60.163336, 24.914607;1993;Metro
Siilitie;60.205520, 25.044307;1982;Metro
Sörnäinen;60.187836, 24.960886;1984;Metro
Tapiola;60.175159, 24.805455;2017;Metro
Urheilupuisto;60.174490, 24.779921;2017;Metro
Vuosaari;60.207192, 25.142402;1998;Metro
